rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
59,0,1,-28.005,49.217,0,,,,V2.0,,,,1,y,,,,
60,0,0,66.595,37.364,0,,,,V2.0,,,,1,y,,,,
60,0,1,69.608,-135.53,1,,,,V2.0,,,,1,y,,,,
60,0,0,54.887,-139.04,1,,,,V2.0,,,,1,y,,,,
60,0,1,-0.66927,-145.53,1,,,,V2.0,,,,1,y,,,,
60,0,0,-31.329,-148.72,1,,,,V2.0,,,,1,y,,,,
60,0,1,-37.393,26.679,0,,,,V2.0,,,,1,y,,,,
61,0,0,67.697,13.413,0,,,,V2.0,,,,1,y,,,,
61,0,1,20.454,-167,1,,,,V2.0,,,,1,y,,,,
61,0,0,-31.805,-172.39,1,,,,V2.0,,,,1,y,,,,
62,0,1,1.0642,-1.0142,0,,,,V2.0,,,,1,y,,,,
62,0,0,65.169,-9.4865,0,,,,V2.0,,,,1,y,,,,
62,0,1,20.928,169.43,1,,,,V2.0,,,,1,y,,,,
62,0,0,-26.397,164.59,1,,,,V2.0,,,,1,y,,,,
63,0,1,70.871,154.08,1,,,,V2.0,,,,1,y,,,,
63,0,0,55.357,150.19,1,,,,V2.0,,,,1,y,,,,
63,0,1,24.278,146.17,1,,,,V2.0,,,,1,y,,,,
63,0,0,-41.836,139.16,1,,,,V2.0,,,,1,y,,,,
63,0,1,-28.152,-45.239,0,,,,V2.0,,,,1,y,,,,
64,0,0,3.4759,-48.493,0,,,,V2.0,,,,1,y,,,,
64,0,1,71.823,130.85,1,,,,V2.0,,,,1,y,,,,
64,0,0,-38.501,115.96,1,,,,V2.0,,,,1,y,,,,
64,0,1,-53.708,-65.532,0,,,,V2.0,,,,1,y,,,,
65,0,0,23.157,-74.127,0,,,,V2.0,,,,1,y,,,,
65,0,1,32.581,-75.163,0,,,,V2.0,,,,1,y,,,,
65,0,0,57.573,-78.666,0,,,,V2.0,,,,1,y,,,,
65,0,1,75.127,108.89,1,,,,V2.0,,,,1,y,,,,
65,0,0,-3.0818,96.139,1,,,,V2.0,,,,1,y,,,,
66,0,1,12.75,-96.665,0,,,,V2.0,,,,1,y,,,,
66,0,0,65.488,-104.04,0,,,,V2.0,,,,1,y,,,,
66,0,1,70.093,82.922,1,,,,V2.0,,,,1,y,,,,
66,0,0,7.10561,73.53968,1,,,,V2.0,,,,1,y,,,,
67,0,1,32.728,-122.42,0,,,,V2.0,,,,1,y,,,,
67,0,0,69.572,-128.91,0,,,,V2.0,,,,1,y,,,,
67,0,1,68.673,58.812,1,,,,V2.0,,,,1,y,,,,
67,0,0,-29.099,46.199,1,,,,V2.0,,,,1,y,,,,
67,0,1,-31.193,-139.38,0,,,,V2.0,,,,1,y,,,,
67,0,0,-1.8103,-142.44,0,,,,V2.0,,,,1,y,,,,
68,0,1,54.547,-148.99,0,,,,V2.0,,,,1,y,,,,
68,0,0,71.019,-153.08,0,,,,V2.0,,,,1,y,,,,
68,0,1,67.565,34.845,1,,,,V2.0,,,,1,y,,,,
68,0,0,-38.328,21.507,1,,,,V2.0,,,,1,y,,,,
