rgt,trans_type,lat,lon
183,1,20.782,-168.52
183,0,-31.956,-173.97
184,1,1.0567,-2.5707
184,0,61.519,-10.168
184,1,17.897,167.56
184,0,-26.229,163.05
185,1,71.516,152.79
185,0,55.365,148.63
185,1,5.5684,142.69
185,0,-39.604,137.89
185,1,-29.115,-46.69
186,0,7.3092,-50.435
186,1,72.777,129.72
186,0,-38.175,114.45
186,1,-59.246,-66.088
187,0,55.812,-79.903
187,1,75.456,107.53
187,0,-1.1466,94.775
188,1,12.742,-98.221
188,0,65.796,-105.68
188,1,70.259,81.426
188,0,11.019,72.377
189,1,34.795,-124.21
189,0,69.595,-130.48
189,1,68.839,57.31
189,0,-29.25,44.624
189,1,-31.201,-140.93
189,0,-0.5385,-144.13
190,1,55.015,-150.62
190,0,70.834,-154.56
190,1,68.995,33.747
190,0,-38.478,19.931
190,1,-32.153,-164.44
191,0,20.9,-169.92
191,1,64.09,8.7135
191,0,1.8953,0.60147
191,1,-47.87,173.92
192,0,17.38,166.82
192,1,51.043,162.78
192,0,70.885,158.24
192,1,-45.491,149.97
193,0,5.3848,144.42
193,1,31.61,141.67
193,0,72.277,133.98
193,1,2.5295,-46.573
193,0,-35.152,-50.527
193,1,-37.549,125.33
194,0,74.325,109.36
194,1,59.966,-63.077
194,0,40.568,-66.092
194,1,21.889,-68.217
194,0,-21.292,-72.611
194,1,-5.6471,98.288
195,0,72.75,86.534
195,1,59.018,-86.891
195,0,10.696,-92.993
196,1,11.464,72.95
196,0,68.802,64.458
196,1,65.834,-108.94
196,0,23.497,-115.29
197,1,2.3383,50.248
197,0,67.852,41.141
197,1,69.628,-131.37
197,0,52.194,-135.33
197,1,-2.2617,-141.53
197,0,-30.684,-144.49
197,1,-35.017,30.549
198,0,69.901,16.831
198,1,67.31195592,-155.7450052
198,0,51.403,-159.07
198,1,26.856,-162.16
198,0,-31.956,-168.26
199,1,2.4955,2.9953
199,0,63.103,-4.8174
199,1,15.338,173.0
199,0,-34.667,167.81
200,1,71.201,158.37
200,0,55.523,154.37
200,1,11.01,148.94
200,0,-43.73,143.07
200,1,-26.727,-41.242
201,0,2.8266,-44.275
201,1,72.146,135.14
201,0,-37.858,120.19
201,1,-45.324,-62.63
202,0,22.668,-69.922
202,1,38.156,-71.668
202,0,61.37,-75.278
202,1,74.506,112.68
202,0,-7.2328,99.875
203,1,10.662,-92.3
203,0,64.372,-99.595
203,1,73.097,88.334
203,0,4.297,77.411
204,1,28.248,-117.76
204,0,70.22,-124.99
204,1,68.523,62.914
204,0,8.6205,54.226
204,1,-30.884,-135.26
204,0,-4.8596,-137.98
205,1,55.649,-145.02
205,0,70.221,-148.62
205,1,66.783,38.764
205,0,-37.523,25.757
205,1,-32.154,-158.73
206,0,23.298,-164.47
206,1,68.993,15.838
206,0,-4.6642,5.6554
206,1,-29.601,177.36
207,0,14.026,172.88
207,1,54.703,167.9
207,0,68.976,164.58
207,1,33.872,-13.948
207,0,6.853,-16.811
207,1,-36.596,154.55
208,0,12.745,149.39
208,1,55.02,144.22
208,0,73.537,139.09
208,1,0.61138,-41.055
208,0,-26.87,-43.881
208,1,-35.483,130.79
209,0,17.068,125.33
209,1,34.006,123.49
209,0,73.853,115.32
209,1,57.905,-57.772
209,0,40.729,-60.361
209,1,21.25,-62.574
209,0,-58.923,-71.905
209,1,-10.443,104.48
210,0,76.525,90.082
210,1,56.796,-81.599
210,0,7.8152,-87.573
211,1,3.784,79.434
211,0,68.171,70.374
211,1,65.676,-103.27
211,0,19.341,-110.02
212,1,12.423,54.944
212,0,68.011,46.803
212,1,70.852,-125.23
212,0,47.584,-130.31
212,1,-6.5788,-136.25
212,0,-31.16,-138.84
212,1,-29.286,35.604
213,0,71.479,21.933
213,1,70.265,-149.05
213,0,52.04,-153.26
213,1,29.733,-156.14
213,0,-31.317,-162.47
213,1,-6.778,9.6341
214,0,57.553,2.0545
214,1,6.5394,177.82
214,0,-49.583,171.58
215,1,6.341,-15.298
215,0,33.362,-18.153
215,1,69.611,163.48
215,0,48.691,159.0
215,1,9.733,154.52
215,0,-46.898,148.35
215,1,-16.677,-36.596
215,0,-0.20834,-38.261
216,1,72.619,141.06
216,0,29.718,133.01
216,1,7.1687,130.65
216,0,-36.108,126.11
216,1,-42.152,-57.34
217,0,22.028,-64.145
217,1,40.228,-66.214
217,0,61.053,-69.5
217,1,73.563,117.9
217,0,-11.069,105.2
218,1,6.028,-86.123
218,0,60.893,-93.08
218,1,71.1373,93.1848
218,0,14.374,84.138
219,1,18.976,-111.06
