rgt,trans_type,lat,lon,asc_req
98,1,-32.95947156170813,-151.37464190438877,1
99,0,28.095000000000002,-157.72,0
99,1,41.52824252130568,17.867117752862637,1
99,0,-22.879999999999995,11.053999999999998,1
99,1,-32.145999999999994,-175.09,0
100,0,12.108,-179.65999999999997,0
100,1,64.244,-1.8896,1
100,0,1.2508999999999997,-10.105,1
100,1,-19.067,159.86999999999998,0
101,0,11.314,156.8,0
101,1,43.1697958109884,153.2491790828057,0
101,0,72.732,146.75,0
101,1,-40.39999999999999,138.66,0
102,0,11.478999999999996,133.17,0
102,1,23.315,131.94,0
102,0,36.11445669770806,130.50904519837155,0
102,1,10.522999999999998,-56.411,1
102,0,-45.324,-62.449,1
102,1,-36.9217351845098,114.61270795599388,0
102,0,-21.401287203873807,112.87938761763617,0
102,1,-12.829999999999998,111.98999999999998,0
103,0,45.759170804488896,105.66722195890756,0
103,1,39.492180532645534,-76.86880520917147,1
103,0,-10.480007310988308,-82.13959776568372,1
104,1,15.310000000000002,85.537,0
104,0,26.779470533734408,84.32876738194753,0
104,1,41.65038857104995,-100.21889249277257,1
104,0,14.379999999999999,-103.25999999999999,1
105,1,21.383999999999997,61.286,0
105,0,44.179379223940046,58.639722268063736,0
105,1,43.62946358874444,-123.58069088584344,1
105,0,35.154999999999994,-124.63000000000001,1
105,1,-13.614,-129.7,1
105,0,-31.48,-131.61,1
105,1,-21.631,42.04299999999999,0
106,0,36.77199188192111,35.95148001785993,0
106,1,16.60625568081418,-150.27058013886412,1
106,0,-33.070052835753515,-155.40734793738378,1
106,1,-38.19100000000001,20.287,0
107,0,44.61656955703182,11.340535321886358,0
107,1,16.134,-173.93999999999997,1
107,0,-33.239,-179.05,1
108,1,1.061,-7.502200000000001,0
108,0,35.119,-11.090999999999998,0
108,1,68.992,170.52999999999997,1
108,0,55.68399999999999,167.37999999999997,1
108,1,15.973999999999998,162.43,1
108,0,-25.436,158.20999999999998,1
109,1,12.88987064816958,138.49271546923717,1
109,0,-36.10624392247937,133.38135396244678,1
109,1,-34.54869368909208,-51.00306027164951,1
110,0,9.553099999999999,-55.59300000000001,0
110,1,41.90885398477138,118.10096002618369,0
110,0,-11.94001445121438,112.37630241032926,0
110,1,-57.5906574040329,-71.33975936062426,1
110,0,-33.25099999999999,-74.774,0
110,1,-17.948,-76.436,0
111,0,39.805673985469895,-82.5107834237962,0
111,1,26.87696855107153,92.72023734663439,1
111,0,16.29,91.602,1
112,1,14.028000000000002,-103.28,0
112,0,34.80145347773771,-105.52589258995214,0
112,1,31.843941706530995,69.6533059915999,1
112,0,18.212,68.182,1
112,1,-32.53714357119088,-122.0942492200555,0
112,0,-22.330930706566633,-123.21507375981841,0
113,1,33.836417522159195,46.26331382309469,0
113,0,-21.066440012126566,40.57675461126321,0
113,1,-32.88092693121613,-145.67379722407898,1
114,0,11.458999999999998,-150.26,0
114,1,40.54596426613402,23.452733203642424,0
114,0,-34.386300303797476,15.487619114306021,0
114,1,-32.47,-169.34,0
115,0,16.583,-174.40999999999997,0
115,1,57.59099999999999,2.3884999999999996,1
115,0,1.0953999999999997,-4.4104,1
115,1,-50.55999999999999,169.39,0
115,0,-41.47781125604864,168.12597106745108,0
115,1,-28.208678975735,166.5618604877335,0
116,0,15.554163074879071,162.07990665836763,0
116,1,-46.662286755662485,145.198533474564,0
117,0,6.673399999999999,139.36,0
117,1,6.236839963760311,-51.13306903306134,0
117,0,-39.19381685362717,-55.94584278964569,0
117,1,-37.03345295665867,120.33677319925911,1
118,0,44.653816665911414,111.52668654472049,0
118,1,25.45904203203027,-72.76861709221866,1
118,0,-18.422,-77.243,1
119,1,16.427,91.132,0
119,0,25.83615812961032,90.14129033265156,0
119,1,39.742064548170816,-94.74892003896306,1
119,0,12.46,-97.74599999999998,1
120,1,19.622,67.18,0
120,0,31.799549409974375,65.86039563920744,0
120,1,37.55590364316027,65.1874462914882,0
120,0,44.472209879243145,64.31050329507214,0
120,1,34.91571707861994,-118.94966247951436,1
120,0,29.090999999999994,-119.60999999999999,1
120,1,-18.245,-124.47,1
120,0,-33.07000000000001,-126.08,1
120,1,-28.49000000000001,48.492,0
121,0,36.12052048877568,41.7389728543753,0
121,1,6.15586491656789,-145.62162351214286,1
121,0,-32.989456506038906,-149.68819824066648,1
121,1,-37.241,25.882,0
122,0,41.713926042591744,17.430422091590007,0
122,1,19.655999999999995,-167.86,1
122,0,-32.12299999999999,-173.21,1
123,1,1.2234,-1.8087999999999997,0
123,0,61.843,-9.460599999999998,0
123,1,20.289,168.58999999999997,1
123,0,-25.28,163.92999999999998,1
124,1,50.578859564390704,148.6374845213293,1
124,0,37.92713110403618,146.93597005585804,1
124,1,5.7277,143.48,1
124,0,-40.399,138.57,1
124,1,-28.478,-45.982,0
125,0,5.869199999999999,-49.512,0
125,1,40.262190501601864,123.60263932994359,1
125,0,-12.042626071788902,118.07590514803846,1
125,1,-17.366454285149338,117.5301826562596,1
125,0,-38.811,115.15000000000002,1
125,1,-53.55699999999999,-66.33600000000001,0
126,0,25.386999999999997,-75.14399999999999,0
126,1,33.212,-76.014,0
126,0,39.542496243302864,-76.76911065361391,0
126,1,45.1139874138961,100.61403111434981,1
126,0,40.16614942962335,99.97124877717992,1
126,1,26.846613312150236,98.42723947982338,1
126,0,-1.9541000000000004,95.47299999999998,1
127,1,12.428999999999998,-97.41099999999999,0
127,0,41.65098805202924,-100.65151211238708,0
